;店名;EN;类别;连锁;地址;Ortsteil;推荐备注;柏林慢慢游甄选20;;;;;;;;;;;;;;;;;
53;Good Aroma;Good Aroma;小吃;否;Tempelhofer Damm 220, 12099 Berlin;Tempelhof;;;;;;;;;;;;;;;;;;;
54;锅锅香/Guoguoxiang;Guoguoxiang;饭店;否;Breitenbachpl. 8, 14195 Berlin;Dahlem;;;;;;;;;;;;;;;;;;;
55;海椒/Hi! Chili;Hi! Chili;小吃;否;Fehrbelliner Str. 5, 10119 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
56;Han Bites KTV;Han Bites KTV;串烧;否;Kantstraße 120, 10625 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
57;Han West (Wedding);Han West (Wedding);小吃;是;Burgsdorfstraße 7, 13353 Berlin;Wedding;;;;;;;;;;;;;;;;;;;
58;HanWest (Neukölln);HanWest (Neukölln);小吃;是;Selchower Str. 20, 12049 Berlin;Neukölln;;;;;;;;;;;;;;;;;;;
59;好好酒楼/HowHow;HowHow;饭店;否;Oranienburger Str. 168, 13437 Berlin;Wittnau;;;;;;;;;;;;;;;;;;;
60;好利私房菜/Holly;Holly;饭店;否;Schustehrusstraße 3, 10585 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
61;Happy Panda;Happy Panda;饭店;否;Johannisthaler Ch 261, 12351 Berlin;Rudow;;;;;;;;;;;;;;;;;;;
62;红豆中餐馆/Rotbohnen (Charlottenburg);Rotbohnen (Charlottenburg);小吃;是;Wilmersdorfer Str. 17, 10585 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
63;红豆中餐馆/Rotbohnen (Fhain);Rotbohnen (Fhain);小吃;是;Boxhagener Str. 55, 10245 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
64;吼堂火锅/Hou Tang Hotpot;Hou Tang Hotpot;火锅;否;Kurfürstendamm 175, 10707 Berlin;Wilmersdorf;;成都火锅｜锅底讲究｜适合团体;;;;;;;;;;;;;;;;;
65;华丽都/Hua Li Du;Hua Li Du;饭店;否;Dietzgenstraße 11A, 13156 Berlin;Pankow;;;;;;;;;;;;;;;;;;;
66;华亭酒家/HuaTing;HuaTing;饭店;否;Strausberger Pl. 13, 10243 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
67;汇丰酒家/Hui Feng;Hui Feng;饭店;否;Hellersdorfer Promenade 24, 12627 Berlin;Hellersdorf;;;;;;;;;;;;;;;;;;;
68;佳家/Jia Jia;Jia Jia;饭店;否;Lefèvrestraße 1, 12161 Berlin;Friedenau;;;;;;;;;;;;;;;;;;;
69;嘉乐/Jolly;Jolly;饭店;否;Am Kupfergraben 4, 10117 Berlin;Mitte;;北京烤鸭｜体面老派｜景点旁边;;;;;;;;;;;;;;;;;
70;煎饼堂/Jian Bing Town;Jian Bing Town;小吃;否;Kerb Food Hall, Potsdamer Str. 4, 10785 Berlin;Tiergarten;;;;;;;;;;;;;;;;;;;
71;见一面/Meet Noodles;Meet Noodles;面馆;否;Boxhagener Str. 104, 10245 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
72;椒点私厨/SzeChuan Küche;SzeChuan Küche;饭店;否;Seestraße 101, 13353 Berlin;Wedding;;;;;;;;;;;;;;;;;;;
73;金色花园/Golden Garden;Golden Garden;饭店;否;Heinersdorfer Str. 19A, 12209 Berlin;Lichterfelde;;;;;;;;;;;;;;;;;;;
74;聚友阁/Hot Spot;Hot Spot;饭店;否;Eisenzahnstraße 66, 10709 Berlin;Wilmersdorf;;;;;;;;;;;;;;;;;;;
75;JuJu's Dumplings;JuJu's Dumplings;小吃;否;Arminiusmarkethalle, Arminiusstraße 2-4, 10551 Berlin;Moabit;;;;;;;;;;;;;;;;;;;
76;Kaiser Drachen;Kaiser Drachen;饭店;否;Stubenrauchstraße 78, 12487 Berlin;Johannisthal;;;;;;;;;;;;;;;;;;;
77;King-Men;King-Men;饭店;否;Falkenseer Chaussee 217, 13583 Berlin;Spandau;;;;;;;;;;;;;;;;;;;
78;空/Kong Chinese Noodle Restaurant;Kong Chinese Noodle Restaurant;面馆;否;Prenzlauer Allee 27A, 10405 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
79;兰州拉面/Lanzhou Beef Noodles (Charlottenburg);Lanzhou Beef Noodles (Charlottenburg);面馆;是;Kantstraße 56, 10627 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
80;兰州拉面/Lanzhou Beef Noodles (Fhain);Lanzhou Beef Noodles (Fhain);面馆;是;Krossener Str. 12, 10245 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
81;老陈一品香/Chen’s Wok;Chen’s Wok;饭店;否;Otto-Suhr-Allee 11-13, 10585 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
82;老乡/Lao Xiang;Lao Xiang;饭店;否;Wichertstraße 43, 10439 Berlin;Prenzlauer Berg;;广式点心｜周末早茶｜北边最强;;;;;;;;;;;;;;;;;
83;老友记/Good Friends;Good Friends;饭店;否;Kantstraße 30, 10623 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
84;Lecker Song;Lecker Song;小吃;否;Schliemannstraße 19, 10437 Berlin;Prenzlauer Berg;;;;;;;;;;;;;;;;;;;
85;蕾小厨湘菜馆/Lei’s Küche;Lei’s Küche;饭店;否;Seestraße 41, 13353 Berlin;Wedding;;;;;;;;;;;;;;;;;;;
86;莲花阁素食/Kamala Vegan;Kamala Vegan;素食;否;Boxhagener Str. 85, 10245 Berlin;Friedrichshain;;;;;;;;;;;;;;;;;;;
87;零零八六/0086;86;饭店;否;Bleibtreustraße 7, 10623 Berlin;Charlottenburg;;传统川菜｜重口下饭｜新派氛围;;;;;;;;;;;;;;;;;
88;Little Little Restaurant;Little Little Restaurant;面馆;否;Stuttgarter Pl. 16, 10627 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
89;Liu成都味道面馆/Liu Nudelhaus;Liu Nudelhaus;面馆;否;Kronenstraße 72, 10117 Berlin;Mitte;;;;;;;;;;;;;;;;;;;
90;龙利阁/Long Li House;Long Li House;饭店;否;Residenzstraße 130, 13409 Berlin;Reinickendorf;;;;;;;;;;;;;;;;;;;
91;龙门/Lon-Min;Lon-Min;饭店;否;Bamberger Str. 30, 10779 Berlin;Wilmersdorf;;;;;;;;;;;;;;;;;;;
92;龙门牛肉面大王/Lon Men's Noodle House;Lon Men's Noodle House;面馆;否;Kantstraße 33, 10625 Berlin;Charlottenburg;;;;;;;;;;;;;;;;;;;
